行业名称,行业代码,行业A股占比_pct,最新PE,PE分位数,近10日换手率_pct,近10日换手率分位数,ROE_pct,ROE分位数,ROE同比_pct,ROE_pct(市值加权),市值加权ROE分位数,市值加权ROE同比_pct,近1周涨跌幅_pct,近1月涨跌幅_pct,近1年涨跌幅_pct,模型意见,PE分位数得分,换手率分位数得分,ROE同比得分,动量得分,模型总得分,分析师意见
农林牧渔,801010,1.2794,86.26,81.23,60.91,98.17,0.58,10.53,-1.38,-3.85,13.04,-9.41,5.64,9.93,-6.8,低配,0,-1,0,0,-1,平配
基础化工,801030,4.5913,25.97,74.61,49.38,82.29,2.79,31.58,0.15,5.62,34.78,1.25,-3.08,-2.89,7.87,平配,0,0,1,-1,0,平配
钢铁,801040,0.5928,30.93,78.79,22.38,45.83,0.41,15.79,-0.91,0.86,21.74,-1.01,-2.07,-2.16,-12.78,低配,0,0,0,-1,-1,平配
有色金属,801050,5.495,18.17,32.26,49.87,78.55,5.71,42.11,1.44,12.64,78.26,4.6,-4.05,-6.91,38.25,平配,0,0,1,-1,0,平配
电子,801080,19.1053,60.28,78.86,49.2,77.28,2.31,36.84,0.13,11.72,95.65,7.53,-3.56,-3.25,49.79,平配,0,0,1,-1,0,平配
汽车,801880,3.6321,25.23,21.53,29.94,25.97,2.86,26.32,-0.94,3.91,30.43,-0.87,0.02,-2.26,-17.12,低配,0,0,0,-1,-1,平配
家用电器,801110,2.1548,15.12,73.19,31.31,56.79,1.88,5.26,-1.58,8.28,26.09,-0.55,-0.44,-0.02,-3.8,低配,0,0,0,-1,-1,平配
食品饮料,801120,3.3225,21.41,33.28,35.34,74.82,3.27,31.58,0.3,11.6,26.09,-1.28,1.7,-2.67,-19.04,平配,0,0,1,-1,0,平配
纺织服饰,801130,0.5188,24.86,66.56,47.46,75.3,2.72,26.32,-0.04,3.03,34.78,-0.06,-0.37,-0.16,-7.3,低配,0,0,0,-1,-1,平配
轻工制造,801140,0.7938,34.03,93.61,41.97,61.8,1.85,26.32,-0.65,0.85,4.35,-1.8,0.08,0.95,-8.01,低配,-1,0,0,0,-1,平配
医药生物,801150,6.3512,31.96,59.7,44.92,86.89,2.51,26.32,-0.07,5.38,30.43,0.89,-0.68,-5.24,-15.13,低配,0,0,0,-1,-1,平配
公用事业,801160,2.4722,21.82,59.54,27.79,45.83,3.46,26.32,-0.38,4.41,39.13,-0.3,-0.13,-2.45,1.06,低配,0,0,0,-1,-1,平配
交通运输,801170,1.9078,17.0,79.34,22.95,60.05,3.4,31.58,0.15,3.98,43.48,0.24,0.35,0.29,-8.53,高配,0,0,1,1,2,平配
房地产,801180,0.85,17.33,59.38,44.1,76.49,-0.27,10.53,-0.6,-2.87,21.74,-0.33,0.62,0.14,-14.79,高配,0,0,0,1,1,平配
商贸零售,801200,0.8498,34.79,57.89,41.24,69.02,2.09,47.37,0.54,6.64,82.61,3.38,4.17,2.78,-19.15,高配,0,0,1,1,2,平配
社会服务,801210,0.5116,41.73,25.39,46.98,53.3,2.58,47.37,-0.14,2.67,73.91,-0.58,2.01,3.32,-16.38,高配,0,0,0,1,1,平配
银行,801780,5.4411,6.4,82.89,14.1,84.59,4.97,26.32,-0.19,5.41,26.09,-0.21,0.72,4.48,-5.04,平配,0,0,0,0,0,平配
非银金融,801790,5.1984,9.69,0.24,22.28,61.4,4.27,57.89,1.06,7.49,65.22,2.03,-0.51,0.96,-16.53,高配,1,0,1,-1,1,平配
综合,801230,0.1991,78.67,91.96,42.23,77.6,2.04,47.37,0.32,-2.69,13.04,-3.88,-1.9,0.04,18.83,低配,-1,0,1,-1,-1,平配
建筑材料,801710,0.8681,35.94,93.69,38.13,69.42,0.8,15.79,-0.89,4.17,43.48,1.23,-2.94,-5.29,11.94,低配,-1,0,0,-1,-2,平配
建筑装饰,801720,1.3081,14.49,94.87,29.25,46.78,1.38,26.32,-0.61,1.42,30.43,0.57,-0.28,0.06,-6.11,低配,-1,0,0,-1,-2,平配
电力设备,801730,8.2784,28.9,37.54,38.08,51.23,2.58,31.58,0.08,5.53,39.13,0.15,-2.58,-7.28,9.49,平配,0,0,1,-1,0,平配
机械设备,801890,6.2065,41.37,89.59,41.1,56.87,2.34,26.32,-0.32,4.54,39.13,0.72,-1.34,-0.5,14.5,低配,0,0,0,-1,-1,平配
国防军工,801740,2.6596,58.69,48.9,34.03,51.31,0.67,15.79,-0.48,3.7,47.83,1.16,1.12,-1.82,-9.91,低配,0,0,0,-1,-1,平配
计算机,801750,4.8507,61.78,50.71,39.98,36.22,-0.5,5.26,-0.6,1.84,60.87,0.71,-1.91,-3.83,-21.59,低配,0,0,0,-1,-1,平配
传媒,801760,1.7618,35.34,47.4,49.28,59.65,1.31,31.58,0.02,5.28,69.57,2.16,3.85,0.54,-12.57,高配,0,0,1,1,2,平配
通信,801770,5.6808,47.9,85.09,44.84,65.13,1.95,36.84,0.08,19.16,91.3,4.72,1.25,5.6,69.08,高配,0,0,1,0,1,平配
煤炭,801950,0.934,18.75,85.71,54.94,91.96,3.59,31.58,0.8,5.03,21.74,1.2,-7.35,0.42,22.8,低配,0,-1,1,-1,-1,平配
石油石化,801960,1.1916,17.12,77.56,30.14,76.86,2.79,57.89,1.09,6.53,60.87,3.12,-3.76,3.09,17.58,平配,0,0,1,-1,0,平配
环保,801970,0.8054,24.99,76.16,31.62,54.06,1.64,26.32,-0.42,2.27,47.83,1.69,-1.48,-1.3,-1.71,低配,0,0,0,-1,-1,平配
美容护理,801980,0.1879,28.59,7.1,43.08,71.55,4.07,47.37,0.05,6.21,34.78,0.09,2.11,-1.64,-30.5,高配,1,0,1,-1,1,平配
