行业名称,行业代码,行业A股占比_pct,最新PE,PE分位数,近10日换手率_pct,近10日换手率分位数,ROE_pct,ROE分位数,ROE同比_pct,ROE_pct(市值加权),市值加权ROE分位数,市值加权ROE同比_pct,近1周涨跌幅_pct,近1月涨跌幅_pct,近1年涨跌幅_pct,PE分位数得分,换手率分位数得分,ROE同比得分,动量得分,模型总得分,分析师意见
农林牧渔,801010,1.3047,89.0,81.26,67.73,99.13,0.58,10.53,-1.38,-3.85,13.04,-9.41,4.57,12.87,-6.66,0,-1,0,0,-1,平配
基础化工,801030,4.6241,26.46,75.2,49.75,82.79,2.79,31.58,0.15,5.62,34.78,1.25,-0.9,0.3,8.51,0,0,1,-1,0,平配
钢铁,801040,0.5929,31.31,79.61,22.02,45.04,0.41,15.79,-0.91,0.86,21.74,-1.01,-0.95,1.26,-13.47,0,0,0,-1,-1,平配
有色金属,801050,5.481,18.34,33.46,45.7,73.91,5.71,42.11,1.44,12.64,78.26,4.6,-1.71,-1.33,33.85,0,0,1,-1,0,平配
电子,801080,19.4401,62.04,80.47,47.25,74.62,2.31,36.84,0.13,11.72,95.65,7.53,-1.7,-3.48,45.11,0,0,1,-1,0,平配
汽车,801880,3.6003,25.24,21.65,31.06,30.53,2.86,26.32,-0.94,3.91,30.43,-0.87,-0.88,-2.03,-18.01,0,0,0,-1,-1,平配
家用电器,801110,2.1024,14.94,68.27,31.94,59.32,1.88,5.26,-1.58,8.28,26.09,-0.55,-1.21,-1.04,-6.07,0,0,0,-1,-1,平配
食品饮料,801120,3.2661,21.29,31.18,36.84,79.7,3.27,31.58,0.3,11.6,26.09,-1.28,0.68,-2.12,-21.21,0,0,1,-1,0,平配
纺织服饰,801130,0.5153,24.99,68.03,47.39,75.18,2.72,26.32,-0.04,3.03,34.78,-0.06,-0.56,0.45,-6.79,0,0,0,-1,-1,平配
轻工制造,801140,0.7911,34.32,94.65,45.22,68.68,1.85,26.32,-0.65,0.85,4.35,-1.8,-0.11,2.13,-8.07,-1,0,0,-1,-2,平配
医药生物,801150,6.3466,32.29,61.65,41.82,83.03,2.51,26.32,-0.07,5.38,30.43,0.89,-0.04,-4.48,-15.88,0,0,0,-1,-1,平配
公用事业,801160,2.4423,21.83,59.61,27.45,44.89,3.46,26.32,-0.38,4.41,39.13,-0.3,-0.3,-1.96,0.88,0,0,0,-1,-1,平配
交通运输,801170,1.8805,16.96,78.58,23.22,61.62,3.4,31.58,0.15,3.98,43.48,0.24,-0.01,2.05,-8.99,0,0,1,-1,0,平配
房地产,801180,0.8583,17.7,59.92,45.71,78.11,-0.27,10.53,-0.6,-2.87,21.74,-0.33,2.77,2.17,-15.86,0,0,0,1,1,平配
商贸零售,801200,0.8589,35.5,61.81,46.4,77.32,2.09,47.37,0.54,6.64,82.61,3.38,2.04,4.2,-20.5,0,0,1,0,1,平配
社会服务,801210,0.5199,42.94,29.61,50.74,62.09,2.58,47.37,-0.14,2.67,73.91,-0.58,2.35,5.9,-16.6,0,0,0,0,0,平配
银行,801780,5.3163,6.33,79.53,14.26,85.33,4.97,26.32,-0.19,5.41,26.09,-0.21,-0.79,4.87,-5.41,0,0,0,-1,-1,平配
非银金融,801790,5.0147,9.45,0.0,23.59,66.22,4.27,57.89,1.06,7.49,65.22,2.03,-2.33,1.37,-17.73,1,0,1,-1,1,平配
综合,801230,0.2058,82.26,92.36,42.64,78.19,2.04,47.37,0.32,-2.69,13.04,-3.88,1.53,2.54,17.09,-1,0,1,1,1,平配
建筑材料,801710,0.8731,36.55,94.57,38.0,69.31,0.8,15.79,-0.89,4.17,43.48,1.23,-1.25,-4.16,9.92,-1,0,0,-1,-2,平配
建筑装饰,801720,1.3112,14.7,95.35,29.49,47.58,1.38,26.32,-0.61,1.42,30.43,0.57,0.5,1.08,-6.43,-1,0,0,0,-1,平配
电力设备,801730,8.1478,28.7,35.91,36.64,49.33,2.58,31.58,0.08,5.53,39.13,0.15,-2.32,-8.17,6.21,0,0,1,-1,0,平配
机械设备,801890,6.2771,42.37,90.94,40.66,56.07,2.34,26.32,-0.32,4.54,39.13,0.72,-0.18,-0.2,12.36,-1,0,0,-1,-2,平配
国防军工,801740,2.6609,59.41,50.31,36.11,55.75,0.67,15.79,-0.48,3.7,47.83,1.16,2.47,1.93,-10.49,0,0,0,1,1,平配
计算机,801750,4.7391,61.01,49.45,41.47,40.21,-0.5,5.26,-0.6,1.84,60.87,0.71,-3.44,-4.3,-23.4,0,0,0,-1,-1,平配
传媒,801760,1.7785,36.1,51.1,56.43,68.99,1.31,31.58,0.02,5.28,69.57,2.16,2.85,1.87,-13.23,0,0,1,1,2,平配
通信,801770,5.9436,51.44,89.21,41.83,59.48,1.95,36.84,0.08,19.16,91.3,4.72,1.67,4.11,60.78,0,0,1,0,1,平配
煤炭,801950,0.912,18.53,84.86,52.42,89.95,3.59,31.58,0.8,5.03,21.74,1.2,-4.06,2.0,22.68,0,0,1,-1,0,平配
石油石化,801960,1.2024,17.48,79.18,29.43,74.34,2.79,57.89,1.09,6.53,60.87,3.12,0.02,6.36,21.43,0,0,1,0,1,平配
环保,801970,0.8057,25.26,76.99,31.61,53.88,1.64,26.32,-0.42,2.27,47.83,1.69,-0.64,0.36,-2.21,0,0,0,-1,-1,平配
美容护理,801980,0.1873,28.8,8.22,43.22,71.69,4.07,47.37,0.05,6.21,34.78,0.09,1.17,-0.11,-30.06,1,0,1,-1,1,平配
