行业名称,行业代码,行业A股占比_pct,最新PE,PE分位数,近10日换手率_pct,近10日换手率分位数,ROE_pct,ROE分位数,ROE同比_pct,ROE_pct(市值加权),市值加权ROE分位数,市值加权ROE同比_pct,近1周涨跌幅_pct,近1月涨跌幅_pct,近1年涨跌幅_pct,模型意见,PE分位数得分,换手率分位数得分,ROE同比得分,动量得分,模型总得分,分析师意见
农林牧渔,801010,1.2152,42.69,58.47,57.74,96.41,0.58,10.53,-1.38,-3.85,13.04,-9.41,6.46,7.93,-7.22,平配,0,-1,0,1,0,平配
基础化工,801030,4.657,30.24,89.4,44.64,70.68,2.79,31.58,0.15,5.62,34.78,1.25,3.4,8.91,17.02,高配,0,0,1,0,1,平配
钢铁,801040,0.591,29.91,77.06,20.73,41.91,0.41,15.79,-0.91,0.86,21.74,-1.01,3.23,1.05,-7.91,高配,0,0,0,1,1,平配
有色金属,801050,5.6791,22.51,64.72,48.93,77.29,5.71,42.11,1.44,12.64,78.26,4.6,1.68,11.35,51.35,高配,0,0,1,0,1,平配
电子,801080,19.8026,80.47,95.97,55.94,82.95,2.31,36.84,0.13,11.72,95.65,7.53,0.15,10.24,69.34,平配,-1,0,1,0,0,平配
汽车,801880,3.5901,24.97,19.78,27.86,17.29,2.86,26.32,-0.94,3.91,30.43,-0.87,1.11,0.23,-11.67,高配,0,0,0,1,1,平配
家用电器,801110,2.0936,14.85,64.95,28.88,48.84,1.88,5.26,-1.58,8.28,26.09,-0.55,0.65,-1.5,-1.36,低配,0,0,0,-1,-1,平配
食品饮料,801120,3.2137,19.98,10.6,38.84,85.58,3.27,31.58,0.3,11.6,26.09,-1.28,1.14,-4.04,-17.26,平配,0,0,1,-1,0,平配
纺织服饰,801130,0.512,24.93,67.48,41.31,62.71,2.72,26.32,-0.04,3.03,34.78,-0.06,2.53,5.71,-3.95,平配,0,0,0,0,0,平配
轻工制造,801140,0.7734,32.45,88.92,33.55,46.69,1.85,26.32,-0.65,0.85,4.35,-1.8,2.55,5.76,-5.7,平配,0,0,0,0,0,平配
医药生物,801150,6.3566,33.76,69.94,54.75,96.49,2.51,26.32,-0.07,5.38,30.43,0.89,-1.43,4.22,-11.45,低配,0,-1,0,-1,-2,平配
公用事业,801160,2.4189,20.98,54.27,28.8,48.76,3.46,26.32,-0.38,4.41,39.13,-0.3,1.7,-1.79,4.06,低配,0,0,0,-1,-1,平配
交通运输,801170,1.8702,17.06,79.75,21.02,50.68,3.4,31.58,0.15,3.98,43.48,0.24,1.59,0.42,-5.79,高配,0,0,1,1,2,平配
房地产,801180,0.8423,20.13,66.93,35.1,57.93,-0.27,10.53,-0.6,-2.87,21.74,-0.33,2.59,4.7,-11.88,平配,0,0,0,0,0,平配
商贸零售,801200,0.8192,34.96,58.78,34.91,58.65,2.09,47.37,0.54,6.64,82.61,3.38,3.41,1.06,-17.46,高配,0,0,1,1,2,平配
社会服务,801210,0.4965,40.41,21.68,36.99,28.92,2.58,47.37,-0.14,2.67,73.91,-0.58,3.32,4.96,-13.84,高配,0,0,0,1,1,平配
银行,801780,5.1334,6.17,72.78,12.28,73.47,4.97,26.32,-0.19,5.41,26.09,-0.21,0.02,-1.38,-7.55,低配,0,0,0,-1,-1,平配
非银金融,801790,5.011,11.58,5.3,17.92,38.17,4.27,57.89,1.06,7.49,65.22,2.03,3.94,-0.1,-11.25,高配,1,0,1,-1,1,平配
综合,801230,0.2021,93.7,93.99,55.43,90.6,2.04,47.37,0.32,-2.69,13.04,-3.88,-0.7,10.74,34.83,低配,-1,-1,1,-1,-2,平配
建筑材料,801710,0.883,36.03,94.15,35.75,66.37,0.8,15.79,-0.89,4.17,43.48,1.23,1.97,6.86,21.4,低配,-1,0,0,0,-1,平配
建筑装饰,801720,1.2957,13.42,90.43,29.6,47.81,1.38,26.32,-0.61,1.42,30.43,0.57,1.8,3.2,-3.59,低配,-1,0,0,0,-1,平配
电力设备,801730,8.4611,31.78,48.97,39.05,52.43,2.58,31.58,0.08,5.53,39.13,0.15,-2.87,0.67,19.13,平配,0,0,1,-1,0,平配
机械设备,801890,6.1859,43.64,93.99,39.48,54.58,2.34,26.32,-0.32,4.54,39.13,0.72,0.36,8.4,19.08,低配,-1,0,0,0,-1,平配
国防军工,801740,2.6109,59.69,50.71,31.28,44.06,0.67,15.79,-0.48,3.7,47.83,1.16,1.72,3.28,-8.06,平配,0,0,0,0,0,平配
计算机,801750,4.7258,67.65,64.0,39.09,33.55,-0.5,5.26,-0.6,1.84,60.87,0.71,1.38,0.41,-13.6,高配,0,0,0,1,1,平配
传媒,801760,1.6308,34.73,44.78,35.42,29.64,1.31,31.58,0.02,5.28,69.57,2.16,0.22,-2.94,-14.27,平配,0,0,1,-1,0,平配
通信,801770,5.8119,57.04,93.28,49.14,70.28,1.95,36.84,0.08,19.16,91.3,4.72,-3.13,10.13,85.07,低配,-1,0,1,-1,-1,平配
煤炭,801950,0.9446,22.77,98.59,45.46,82.79,3.59,31.58,0.8,5.03,21.74,1.2,5.13,9.9,31.81,平配,-1,0,1,0,0,平配
石油石化,801960,1.1858,21.36,94.01,28.39,72.32,2.79,57.89,1.09,6.53,60.87,3.12,3.23,8.75,25.75,平配,-1,0,1,0,0,平配
环保,801970,0.8045,26.31,80.9,30.74,51.11,1.64,26.32,-0.42,2.27,47.83,1.69,1.98,6.79,2.17,平配,0,0,0,0,0,平配
美容护理,801980,0.1823,30.39,16.55,38.72,61.58,4.07,47.37,0.05,6.21,34.78,0.09,2.94,-2.54,-27.31,平配,0,0,1,-1,0,平配
